komoditas,kualitas,tanggal,harga,tahun,bulan,minggu,hari_ke,lag_1,lag_7,mean_7,mean_14,delta_7
Cabai Merah,Cabai Merah Besar,2020-01-22,67.5,2020,1,4,20,67.5,72.5,71.25,63.55357142857143,-5.0
Cabai Merah,Cabai Merah Besar,2020-01-23,67.5,2020,1,4,21,67.5,72.5,70.53571428571429,65.01785714285714,-5.0
Cabai Merah,Cabai Merah Besar,2020-01-24,68.0,2020,1,4,22,67.5,73.75,69.82142857142857,66.32142857142857,-6.25
Cabai Merah,Cabai Merah Besar,2020-01-27,70.0,2020,1,5,25,68.0,73.75,69.0,67.16071428571429,-5.75
Cabai Merah,Cabai Merah Besar,2020-01-28,71.25,2020,1,5,26,70.0,71.25,68.46428571428571,67.96428571428571,-1.25
Cabai Merah,Cabai Merah Besar,2020-01-29,72.5,2020,1,5,27,71.25,67.5,68.46428571428571,68.78571428571429,3.75
Cabai Merah,Cabai Merah Besar,2020-01-30,74.75,2020,1,5,28,72.5,67.5,69.17857142857143,69.73214285714286,5.0
Cabai Merah,Cabai Merah Besar,2020-01-31,74.75,2020,1,5,29,74.75,67.5,70.21428571428571,70.73214285714286,7.25
Cabai Merah,Cabai Merah Besar,2020-02-03,77.0,2020,2,6,32,74.75,67.5,71.25,70.89285714285714,7.25
Cabai Merah,Cabai Merah Besar,2020-02-04,77.5,2020,2,6,33,77.0,68.0,72.60714285714286,71.21428571428571,9.0
Cabai Merah,Cabai Merah Besar,2020-02-05,76.5,2020,2,6,34,77.5,70.0,73.96428571428571,71.48214285714286,7.5
Cabai Merah,Cabai Merah Besar,2020-02-06,74.25,2020,2,6,35,76.5,71.25,74.89285714285714,71.67857142857143,5.25
Cabai Merah,Cabai Merah Besar,2020-02-07,73.75,2020,2,6,36,74.25,72.5,75.32142857142857,71.89285714285714,1.75
Cabai Merah,Cabai Merah Besar,2020-02-10,73.75,2020,2,7,39,73.75,74.75,75.5,72.33928571428571,-1.0
Cabai Merah,Cabai Merah Besar,2020-02-11,72.5,2020,2,7,40,73.75,74.75,75.35714285714286,72.78571428571429,-1.0
Cabai Merah,Cabai Merah Besar,2020-02-12,71.75,2020,2,7,41,72.5,77.0,75.03571428571429,73.14285714285714,-4.5
Cabai Merah,Cabai Merah Besar,2020-02-13,66.25,2020,2,7,42,71.75,77.5,74.28571428571429,73.44642857142857,-5.75
