komoditas,kualitas,tanggal,harga,tahun,bulan,minggu,hari_ke
Cabai Merah,Cabai Merah Besar,2020-01-02,47.0,2020,1,1,0
Cabai Merah,Cabai Merah Besar,2020-01-03,49.25,2020,1,1,1
Cabai Merah,Cabai Merah Besar,2020-01-06,56.25,2020,1,2,4
Cabai Merah,Cabai Merah Besar,2020-01-07,58.75,2020,1,2,5
Cabai Merah,Cabai Merah Besar,2020-01-08,59.75,2020,1,2,6
Cabai Merah,Cabai Merah Besar,2020-01-09,59.25,2020,1,2,7
Cabai Merah,Cabai Merah Besar,2020-01-10,60.75,2020,1,2,8
Cabai Merah,Cabai Merah Besar,2020-01-13,72.5,2020,1,3,11
Cabai Merah,Cabai Merah Besar,2020-01-14,72.5,2020,1,3,12
Cabai Merah,Cabai Merah Besar,2020-01-15,73.75,2020,1,3,13
Cabai Merah,Cabai Merah Besar,2020-01-16,73.75,2020,1,3,14
Cabai Merah,Cabai Merah Besar,2020-01-17,71.25,2020,1,3,15
Cabai Merah,Cabai Merah Besar,2020-01-20,67.5,2020,1,4,18
Cabai Merah,Cabai Merah Besar,2020-01-21,67.5,2020,1,4,19
Cabai Merah,Cabai Merah Besar,2020-01-22,67.5,2020,1,4,20
Cabai Merah,Cabai Merah Besar,2020-01-23,67.5,2020,1,4,21
Cabai Merah,Cabai Merah Besar,2020-01-24,68.0,2020,1,4,22
Cabai Merah,Cabai Merah Besar,2020-01-27,70.0,2020,1,5,25
Cabai Merah,Cabai Merah Besar,2020-01-28,71.25,2020,1,5,26
Cabai Merah,Cabai Merah Besar,2020-01-29,72.5,2020,1,5,27
Cabai Merah,Cabai Merah Besar,2020-01-30,74.75,2020,1,5,28
Cabai Merah,Cabai Merah Besar,2020-01-31,74.75,2020,1,5,29
Cabai Merah,Cabai Merah Besar,2020-02-03,77.0,2020,2,6,32
Cabai Merah,Cabai Merah Besar,2020-02-04,77.5,2020,2,6,33
Cabai Merah,Cabai Merah Besar,2020-02-05,76.5,2020,2,6,34
Cabai Merah,Cabai Merah Besar,2020-02-06,74.25,2020,2,6,35
Cabai Merah,Cabai Merah Besar,2020-02-07,73.75,2020,2,6,36
Cabai Merah,Cabai Merah Besar,2020-02-10,73.75,2020,2,7,39
Cabai Merah,Cabai Merah Besar,2020-02-11,72.5,2020,2,7,40
Cabai Merah,Cabai Merah Besar,2020-02-12,71.75,2020,2,7,41
Cabai Merah,Cabai Merah Besar,2020-02-13,66.25,2020,2,7,42
Cabai Merah,Cabai Merah Besar,2020-02-14,66.25,2020,2,7,43
Cabai Merah,Cabai Merah Besar,2020-02-17,58.25,2020,2,8,46
Cabai Merah,Cabai Merah Besar,2020-02-18,61.75,2020,2,8,47
Cabai Merah,Cabai Merah Besar,2020-02-19,61.75,2020,2,8,48
Cabai Merah,Cabai Merah Besar,2020-02-20,71.5,2020,2,8,49
Cabai Merah,Cabai Merah Besar,2020-02-21,73.75,2020,2,8,50
Cabai Merah,Cabai Merah Besar,2020-02-24,66.25,2020,2,9,53
Cabai Merah,Cabai Merah Besar,2020-02-25,66.25,2020,2,9,54
Cabai Merah,Cabai Merah Besar,2020-02-26,65.5,2020,2,9,55
Cabai Merah,Cabai Merah Besar,2020-02-27,65.0,2020,2,9,56
Cabai Merah,Cabai Merah Besar,2020-02-28,55.25,2020,2,9,57
Cabai Merah,Cabai Merah Besar,2020-03-02,48.75,2020,3,10,60
Cabai Merah,Cabai Merah Besar,2020-03-03,49.25,2020,3,10,61
Cabai Merah,Cabai Merah Besar,2020-03-04,48.25,2020,3,10,62
Cabai Merah,Cabai Merah Besar,2020-03-05,48.25,2020,3,10,63
Cabai Merah,Cabai Merah Besar,2020-03-06,48.25,2020,3,10,64
Cabai Merah,Cabai Merah Besar,2020-03-09,48.75,2020,3,11,67
Cabai Merah,Cabai Merah Besar,2020-03-10,47.5,2020,3,11,68
Cabai Merah,Cabai Merah Besar,2020-03-11,44.0,2020,3,11,69
Cabai Merah,Cabai Merah Besar,2020-03-12,44.0,2020,3,11,70
Cabai Merah,Cabai Merah Besar,2020-03-13,44.0,2020,3,11,71
Cabai Merah,Cabai Merah Besar,2020-03-16,39.5,2020,3,12,74
Cabai Merah,Cabai Merah Besar,2020-03-17,39.5,2020,3,12,75
Cabai Merah,Cabai Merah Besar,2020-03-18,37.0,2020,3,12,76
Cabai Merah,Cabai Merah Besar,2020-03-19,35.75,2020,3,12,77
Cabai Merah,Cabai Merah Besar,2020-03-20,35.75,2020,3,12,78
Cabai Merah,Cabai Merah Besar,2020-03-23,34.0,2020,3,13,81
Cabai Merah,Cabai Merah Besar,2020-03-24,34.0,2020,3,13,82
Cabai Merah,Cabai Merah Besar,2020-03-26,34.75,2020,3,13,84
Cabai Merah,Cabai Merah Besar,2020-03-27,33.75,2020,3,13,85
Cabai Merah,Cabai Merah Besar,2020-03-30,32.0,2020,3,14,88
Cabai Merah,Cabai Merah Besar,2020-03-31,31.0,2020,3,14,89
Cabai Merah,Cabai Merah Besar,2020-04-01,30.25,2020,4,14,90
Cabai Merah,Cabai Merah Besar,2020-04-02,28.75,2020,4,14,91
Cabai Merah,Cabai Merah Besar,2020-04-03,28.75,2020,4,14,92
Cabai Merah,Cabai Merah Besar,2020-04-06,29.25,2020,4,15,95
Cabai Merah,Cabai Merah Besar,2020-04-07,29.25,2020,4,15,96
Cabai Merah,Cabai Merah Besar,2020-04-08,27.5,2020,4,15,97
Cabai Merah,Cabai Merah Besar,2020-04-09,27.5,2020,4,15,98
Cabai Merah,Cabai Merah Besar,2020-04-13,27.0,2020,4,16,102
Cabai Merah,Cabai Merah Besar,2020-04-14,26.5,2020,4,16,103
Cabai Merah,Cabai Merah Besar,2020-04-15,25.5,2020,4,16,104
Cabai Merah,Cabai Merah Besar,2020-04-16,25.0,2020,4,16,105
Cabai Merah,Cabai Merah Besar,2020-04-17,25.0,2020,4,16,106
Cabai Merah,Cabai Merah Besar,2020-04-20,24.5,2020,4,17,109
Cabai Merah,Cabai Merah Besar,2020-04-21,24.5,2020,4,17,110
Cabai Merah,Cabai Merah Besar,2020-04-22,30.5,2020,4,17,111
Cabai Merah,Cabai Merah Besar,2020-04-23,30.5,2020,4,17,112
Cabai Merah,Cabai Merah Besar,2020-04-24,30.0,2020,4,17,113
Cabai Merah,Cabai Merah Besar,2020-04-27,28.75,2020,4,18,116
Cabai Merah,Cabai Merah Besar,2020-04-28,27.5,2020,4,18,117
Cabai Merah,Cabai Merah Besar,2020-04-29,24.0,2020,4,18,118
Cabai Merah,Cabai Merah Besar,2020-04-30,23.25,2020,4,18,119
Cabai Merah,Cabai Merah Besar,2020-05-04,24.0,2020,5,19,123
Cabai Merah,Cabai Merah Besar,2020-05-05,24.0,2020,5,19,124
Cabai Merah,Cabai Merah Besar,2020-05-06,24.0,2020,5,19,125
Cabai Merah,Cabai Merah Besar,2020-05-08,22.25,2020,5,19,127
Cabai Merah,Cabai Merah Besar,2020-05-11,22.25,2020,5,20,130
Cabai Merah,Cabai Merah Besar,2020-05-12,22.0,2020,5,20,131
Cabai Merah,Cabai Merah Besar,2020-05-13,22.0,2020,5,20,132
Cabai Merah,Cabai Merah Besar,2020-05-14,22.0,2020,5,20,133
Cabai Merah,Cabai Merah Besar,2020-05-15,22.0,2020,5,20,134
Cabai Merah,Cabai Merah Besar,2020-05-18,23.75,2020,5,21,137
Cabai Merah,Cabai Merah Besar,2020-05-19,28.75,2020,5,21,138
Cabai Merah,Cabai Merah Besar,2020-05-20,30.75,2020,5,21,139
Cabai Merah,Cabai Merah Besar,2020-05-26,32.75,2020,5,22,145
Cabai Merah,Cabai Merah Besar,2020-05-27,34.25,2020,5,22,146
Cabai Merah,Cabai Merah Besar,2020-05-28,32.25,2020,5,22,147
Cabai Merah,Cabai Merah Besar,2020-05-29,23.75,2020,5,22,148
Cabai Merah,Cabai Merah Besar,2020-06-02,22.5,2020,6,23,152
Cabai Merah,Cabai Merah Besar,2020-06-03,22.5,2020,6,23,153
Cabai Merah,Cabai Merah Besar,2020-06-04,22.5,2020,6,23,154
Cabai Merah,Cabai Merah Besar,2020-06-05,20.75,2020,6,23,155
Cabai Merah,Cabai Merah Besar,2020-06-08,21.25,2020,6,24,158
Cabai Merah,Cabai Merah Besar,2020-06-09,21.25,2020,6,24,159
Cabai Merah,Cabai Merah Besar,2020-06-10,21.75,2020,6,24,160
Cabai Merah,Cabai Merah Besar,2020-06-11,21.75,2020,6,24,161
Cabai Merah,Cabai Merah Besar,2020-06-12,21.75,2020,6,24,162
Cabai Merah,Cabai Merah Besar,2020-06-15,23.5,2020,6,25,165
Cabai Merah,Cabai Merah Besar,2020-06-16,24.25,2020,6,25,166
Cabai Merah,Cabai Merah Besar,2020-06-17,24.25,2020,6,25,167
Cabai Merah,Cabai Merah Besar,2020-06-18,24.5,2020,6,25,168
Cabai Merah,Cabai Merah Besar,2020-06-19,24.5,2020,6,25,169
Cabai Merah,Cabai Merah Besar,2020-06-22,23.5,2020,6,26,172
Cabai Merah,Cabai Merah Besar,2020-06-23,23.5,2020,6,26,173
Cabai Merah,Cabai Merah Besar,2020-06-24,23.5,2020,6,26,174
Cabai Merah,Cabai Merah Besar,2020-06-25,22.25,2020,6,26,175
Cabai Merah,Cabai Merah Besar,2020-06-26,21.75,2020,6,26,176
Cabai Merah,Cabai Merah Besar,2020-06-29,24.5,2020,6,27,179
Cabai Merah,Cabai Merah Besar,2020-06-30,24.5,2020,6,27,180
Cabai Merah,Cabai Merah Besar,2020-07-01,25.75,2020,7,27,181
Cabai Merah,Cabai Merah Besar,2020-07-02,25.75,2020,7,27,182
Cabai Merah,Cabai Merah Besar,2020-07-03,25.0,2020,7,27,183
Cabai Merah,Cabai Merah Besar,2020-07-06,26.0,2020,7,28,186
Cabai Merah,Cabai Merah Besar,2020-07-07,25.75,2020,7,28,187
Cabai Merah,Cabai Merah Besar,2020-07-08,25.75,2020,7,28,188
Cabai Merah,Cabai Merah Besar,2020-07-09,25.75,2020,7,28,189
Cabai Merah,Cabai Merah Besar,2020-07-10,26.25,2020,7,28,190
Cabai Merah,Cabai Merah Besar,2020-07-13,26.25,2020,7,29,193
Cabai Merah,Cabai Merah Besar,2020-07-14,26.5,2020,7,29,194
Cabai Merah,Cabai Merah Besar,2020-07-15,25.75,2020,7,29,195
Cabai Merah,Cabai Merah Besar,2020-07-16,24.5,2020,7,29,196
Cabai Merah,Cabai Merah Besar,2020-07-17,24.0,2020,7,29,197
Cabai Merah,Cabai Merah Besar,2020-07-20,25.25,2020,7,30,200
Cabai Merah,Cabai Merah Besar,2020-07-21,25.25,2020,7,30,201
Cabai Merah,Cabai Merah Besar,2020-07-22,25.25,2020,7,30,202
Cabai Merah,Cabai Merah Besar,2020-07-23,25.25,2020,7,30,203
Cabai Merah,Cabai Merah Besar,2020-07-24,24.0,2020,7,30,204
Cabai Merah,Cabai Merah Besar,2020-07-27,24.75,2020,7,31,207
Cabai Merah,Cabai Merah Besar,2020-07-28,24.75,2020,7,31,208
Cabai Merah,Cabai Merah Besar,2020-07-29,27.25,2020,7,31,209
Cabai Merah,Cabai Merah Besar,2020-07-30,28.25,2020,7,31,210
Cabai Merah,Cabai Merah Besar,2020-08-03,29.0,2020,8,32,214
Cabai Merah,Cabai Merah Besar,2020-08-04,28.5,2020,8,32,215
Cabai Merah,Cabai Merah Besar,2020-08-05,28.5,2020,8,32,216
Cabai Merah,Cabai Merah Besar,2020-08-06,28.0,2020,8,32,217
Cabai Merah,Cabai Merah Besar,2020-08-07,26.25,2020,8,32,218
Cabai Merah,Cabai Merah Besar,2020-08-10,24.0,2020,8,33,221
Cabai Merah,Cabai Merah Besar,2020-08-11,24.0,2020,8,33,222
Cabai Merah,Cabai Merah Besar,2020-08-12,24.0,2020,8,33,223
Cabai Merah,Cabai Merah Besar,2020-08-13,23.75,2020,8,33,224
Cabai Merah,Cabai Merah Besar,2020-08-14,23.75,2020,8,33,225
Cabai Merah,Cabai Merah Besar,2020-08-18,23.5,2020,8,34,229
Cabai Merah,Cabai Merah Besar,2020-08-19,23.5,2020,8,34,230
Cabai Merah,Cabai Merah Besar,2020-08-24,21.0,2020,8,35,235
Cabai Merah,Cabai Merah Besar,2020-08-25,20.5,2020,8,35,236
Cabai Merah,Cabai Merah Besar,2020-08-26,20.5,2020,8,35,237
Cabai Merah,Cabai Merah Besar,2020-08-27,20.5,2020,8,35,238
Cabai Merah,Cabai Merah Besar,2020-08-28,20.5,2020,8,35,239
Cabai Merah,Cabai Merah Besar,2020-08-31,23.5,2020,8,36,242
Cabai Merah,Cabai Merah Besar,2020-09-01,25.0,2020,9,36,243
Cabai Merah,Cabai Merah Besar,2020-09-02,25.0,2020,9,36,244
Cabai Merah,Cabai Merah Besar,2020-09-03,25.5,2020,9,36,245
Cabai Merah,Cabai Merah Besar,2020-09-04,25.5,2020,9,36,246
Cabai Merah,Cabai Merah Besar,2020-09-07,29.5,2020,9,37,249
Cabai Merah,Cabai Merah Besar,2020-09-08,29.5,2020,9,37,250
Cabai Merah,Cabai Merah Besar,2020-09-09,29.5,2020,9,37,251
Cabai Merah,Cabai Merah Besar,2020-09-10,28.5,2020,9,37,252
Cabai Merah,Cabai Merah Besar,2020-09-11,28.5,2020,9,37,253
Cabai Merah,Cabai Merah Besar,2020-09-14,28.25,2020,9,38,256
Cabai Merah,Cabai Merah Besar,2020-09-15,28.25,2020,9,38,257
Cabai Merah,Cabai Merah Besar,2020-09-16,27.25,2020,9,38,258
Cabai Merah,Cabai Merah Besar,2020-09-17,26.75,2020,9,38,259
Cabai Merah,Cabai Merah Besar,2020-09-18,26.75,2020,9,38,260
Cabai Merah,Cabai Merah Besar,2020-09-21,27.5,2020,9,39,263
Cabai Merah,Cabai Merah Besar,2020-09-22,27.5,2020,9,39,264
Cabai Merah,Cabai Merah Besar,2020-09-23,27.5,2020,9,39,265
Cabai Merah,Cabai Merah Besar,2020-09-24,27.0,2020,9,39,266
Cabai Merah,Cabai Merah Besar,2020-09-25,27.75,2020,9,39,267
Cabai Merah,Cabai Merah Besar,2020-09-28,30.0,2020,9,40,270
Cabai Merah,Cabai Merah Besar,2020-09-29,29.5,2020,9,40,271
Cabai Merah,Cabai Merah Besar,2020-09-30,29.5,2020,9,40,272
Cabai Merah,Cabai Merah Besar,2020-10-01,30.75,2020,10,40,273
Cabai Merah,Cabai Merah Besar,2020-10-02,31.25,2020,10,40,274
Cabai Merah,Cabai Merah Besar,2020-10-05,37.25,2020,10,41,277
Cabai Merah,Cabai Merah Besar,2020-10-06,37.5,2020,10,41,278
Cabai Merah,Cabai Merah Besar,2020-10-07,37.0,2020,10,41,279
Cabai Merah,Cabai Merah Besar,2020-10-08,36.25,2020,10,41,280
Cabai Merah,Cabai Merah Besar,2020-10-09,36.0,2020,10,41,281
Cabai Merah,Cabai Merah Besar,2020-10-12,38.75,2020,10,42,284
Cabai Merah,Cabai Merah Besar,2020-10-13,38.75,2020,10,42,285
Cabai Merah,Cabai Merah Besar,2020-10-14,38.75,2020,10,42,286
Cabai Merah,Cabai Merah Besar,2020-10-15,38.25,2020,10,42,287
Cabai Merah,Cabai Merah Besar,2020-10-16,37.75,2020,10,42,288
Cabai Merah,Cabai Merah Besar,2020-10-19,32.25,2020,10,43,291
Cabai Merah,Cabai Merah Besar,2020-10-20,32.25,2020,10,43,292
Cabai Merah,Cabai Merah Besar,2020-10-21,30.75,2020,10,43,293
Cabai Merah,Cabai Merah Besar,2020-10-22,30.0,2020,10,43,294
Cabai Merah,Cabai Merah Besar,2020-10-23,30.0,2020,10,43,295
Cabai Merah,Cabai Merah Besar,2020-10-26,31.25,2020,10,44,298
Cabai Merah,Cabai Merah Besar,2020-10-27,31.25,2020,10,44,299
Cabai Merah,Cabai Merah Besar,2020-11-02,40.5,2020,11,45,305
Cabai Merah,Cabai Merah Besar,2020-11-03,40.0,2020,11,45,306
Cabai Merah,Cabai Merah Besar,2020-11-04,35.25,2020,11,45,307
Cabai Merah,Cabai Merah Besar,2020-11-05,34.75,2020,11,45,308
Cabai Merah,Cabai Merah Besar,2020-11-06,33.75,2020,11,45,309
Cabai Merah,Cabai Merah Besar,2020-11-09,33.75,2020,11,46,312
Cabai Merah,Cabai Merah Besar,2020-11-10,33.25,2020,11,46,313
Cabai Merah,Cabai Merah Besar,2020-11-11,33.25,2020,11,46,314
Cabai Merah,Cabai Merah Besar,2020-11-12,32.75,2020,11,46,315
Cabai Merah,Cabai Merah Besar,2020-11-13,32.0,2020,11,46,316
Cabai Merah,Cabai Merah Besar,2020-11-16,33.5,2020,11,47,319
Cabai Merah,Cabai Merah Besar,2020-11-17,33.75,2020,11,47,320
Cabai Merah,Cabai Merah Besar,2020-11-18,33.75,2020,11,47,321
Cabai Merah,Cabai Merah Besar,2020-11-19,32.75,2020,11,47,322
Cabai Merah,Cabai Merah Besar,2020-11-20,33.75,2020,11,47,323
Cabai Merah,Cabai Merah Besar,2020-11-23,36.75,2020,11,48,326
Cabai Merah,Cabai Merah Besar,2020-11-24,36.75,2020,11,48,327
Cabai Merah,Cabai Merah Besar,2020-11-25,36.75,2020,11,48,328
Cabai Merah,Cabai Merah Besar,2020-11-26,36.0,2020,11,48,329
Cabai Merah,Cabai Merah Besar,2020-11-27,36.0,2020,11,48,330
Cabai Merah,Cabai Merah Besar,2020-11-30,43.25,2020,11,49,333
Cabai Merah,Cabai Merah Besar,2020-12-01,43.25,2020,12,49,334
Cabai Merah,Cabai Merah Besar,2020-12-02,45.75,2020,12,49,335
Cabai Merah,Cabai Merah Besar,2020-12-03,55.25,2020,12,49,336
Cabai Merah,Cabai Merah Besar,2020-12-04,54.25,2020,12,49,337
Cabai Merah,Cabai Merah Besar,2020-12-07,57.0,2020,12,50,340
Cabai Merah,Cabai Merah Besar,2020-12-08,57.0,2020,12,50,341
Cabai Merah,Cabai Merah Besar,2020-12-10,56.5,2020,12,50,343
Cabai Merah,Cabai Merah Besar,2020-12-11,57.0,2020,12,50,344
Cabai Merah,Cabai Merah Besar,2020-12-14,56.25,2020,12,51,347
Cabai Merah,Cabai Merah Besar,2020-12-15,56.25,2020,12,51,348
Cabai Merah,Cabai Merah Besar,2020-12-16,56.25,2020,12,51,349
Cabai Merah,Cabai Merah Besar,2020-12-17,60.75,2020,12,51,350
Cabai Merah,Cabai Merah Besar,2020-12-18,65.75,2020,12,51,351
Cabai Merah,Cabai Merah Besar,2020-12-21,65.75,2020,12,52,354
Cabai Merah,Cabai Merah Besar,2020-12-22,65.75,2020,12,52,355
Cabai Merah,Cabai Merah Besar,2020-12-23,65.75,2020,12,52,356
Cabai Merah,Cabai Merah Besar,2020-12-28,52.5,2020,12,53,361
Cabai Merah,Cabai Merah Besar,2020-12-29,49.5,2020,12,53,362
Cabai Merah,Cabai Merah Besar,2020-12-30,47.0,2020,12,53,363
Cabai Merah,Cabai Merah Besar,2021-01-04,48.25,2021,1,1,368
Cabai Merah,Cabai Merah Besar,2021-01-05,48.25,2021,1,1,369
Cabai Merah,Cabai Merah Besar,2021-01-06,44.25,2021,1,1,370
Cabai Merah,Cabai Merah Besar,2021-01-07,42.0,2021,1,1,371
Cabai Merah,Cabai Merah Besar,2021-01-08,39.0,2021,1,1,372
Cabai Merah,Cabai Merah Besar,2021-01-11,37.25,2021,1,2,375
Cabai Merah,Cabai Merah Besar,2021-01-12,37.25,2021,1,2,376
Cabai Merah,Cabai Merah Besar,2021-01-13,37.25,2021,1,2,377
Cabai Merah,Cabai Merah Besar,2021-01-14,37.25,2021,1,2,378
Cabai Merah,Cabai Merah Besar,2021-01-15,37.25,2021,1,2,379
Cabai Merah,Cabai Merah Besar,2021-01-18,40.0,2021,1,3,382
Cabai Merah,Cabai Merah Besar,2021-01-19,39.5,2021,1,3,383
Cabai Merah,Cabai Merah Besar,2021-01-20,39.5,2021,1,3,384
Cabai Merah,Cabai Merah Besar,2021-01-21,39.5,2021,1,3,385
